Fixture ID,League,League Logo,League Flag,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score
1524400,AFC Champions League,https://media.api-sports.io/football/leagues/17.png,,Shabab Al Ahli Dubai,https://media.api-sports.io/football/teams/2870.png,Tractor Sazi,https://media.api-sports.io/football/teams/2737.png,,
1526414,Première Division,https://media.api-sports.io/football/leagues/598.png,https://media.api-sports.io/flags/ml.svg,USFAS Bamako,https://media.api-sports.io/football/teams/12681.png,Derby Academie,https://media.api-sports.io/football/teams/27223.png,,
1526614,Ligue 1,https://media.api-sports.io/football/leagues/386.png,https://media.api-sports.io/flags/ci.svg,Mouna,https://media.api-sports.io/football/teams/22583.png,Stade d'Abidjan,https://media.api-sports.io/football/teams/4525.png,,
1528464,Ligue 1,https://media.api-sports.io/football/leagues/378.png,https://media.api-sports.io/flags/gn.svg,CI Kamsar,https://media.api-sports.io/football/teams/4411.png,Karfamoriah,https://media.api-sports.io/football/teams/26964.png,,
1512704,First League,https://media.api-sports.io/football/leagues/236.png,https://media.api-sports.io/flags/ru.svg,Rodina Moskva,https://media.api-sports.io/football/teams/6822.png,Shinnik Yaroslavl,https://media.api-sports.io/football/teams/1998.png,,
1389962,Liga Leumit,https://media.api-sports.io/football/leagues/382.png,https://media.api-sports.io/flags/il.svg,Hapoel Kfar Saba,https://media.api-sports.io/football/teams/4497.png,Hapoel Kfar Shalem,https://media.api-sports.io/football/teams/6160.png,,
1389968,Liga Leumit,https://media.api-sports.io/football/leagues/382.png,https://media.api-sports.io/flags/il.svg,Hapoel Hadera,https://media.api-sports.io/football/teams/4500.png,Kiryat Yam SC,https://media.api-sports.io/football/teams/20105.png,,
1398590,1. Lig,https://media.api-sports.io/football/leagues/204.png,https://media.api-sports.io/flags/tr.svg,Manisa F.K.,https://media.api-sports.io/football/teams/3597.png,Çorum FK,https://media.api-sports.io/football/teams/6343.png,,
1415755,1. Division,https://media.api-sports.io/football/leagues/318.png,https://media.api-sports.io/flags/cy.svg,Omonia Nicosia,https://media.api-sports.io/football/teams/3402.png,Apollon Limassol,https://media.api-sports.io/football/teams/602.png,,
1477599,I Liga,https://media.api-sports.io/football/leagues/107.png,https://media.api-sports.io/flags/pl.svg,Wieczysta Kraków,https://media.api-sports.io/football/teams/17115.png,Polonia Warszawa,https://media.api-sports.io/football/teams/16239.png,,
1501820,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Norway U23 W,https://media.api-sports.io/football/teams/27162.png,Germany U23 W,https://media.api-sports.io/football/teams/27116.png,,
1521415,CONCACAF U20,https://media.api-sports.io/football/leagues/537.png,,Sint Maarten U20,https://media.api-sports.io/football/teams/11015.png,Trinidad and Tobago U20,https://media.api-sports.io/football/teams/11012.png,,
1526370,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Portugal U19 W,https://media.api-sports.io/football/teams/26029.png,Czech Republic U19 W,https://media.api-sports.io/football/teams/19060.png,,
1526964,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Belgium U23 W,https://media.api-sports.io/football/teams/27082.png,Sweden U23 W,https://media.api-sports.io/football/teams/27193.png,,
1526965,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Kenya W,https://media.api-sports.io/football/teams/16934.png,Benin W,https://media.api-sports.io/football/teams/21050.png,,
1378128,Serie A,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,Pisa,https://media.api-sports.io/football/teams/801.png,Bologna,https://media.api-sports.io/football/teams/500.png,,
1385986,Liga I,https://media.api-sports.io/football/leagues/283.png,https://media.api-sports.io/flags/ro.svg,Unirea Slobozia,https://media.api-sports.io/football/teams/6916.png,Rapid,https://media.api-sports.io/football/teams/6231.png,,
1380590,Ekstraklasa,https://media.api-sports.io/football/leagues/106.png,https://media.api-sports.io/flags/pl.svg,Zaglebie Lubin,https://media.api-sports.io/football/teams/345.png,Wisla Plock,https://media.api-sports.io/football/teams/341.png,,
1389961,Liga Leumit,https://media.api-sports.io/football/leagues/382.png,https://media.api-sports.io/flags/il.svg,Kafr Qasim,https://media.api-sports.io/football/teams/4493.png,Maccabi Herzliya,https://media.api-sports.io/football/teams/4503.png,,
1398177,Segunda Liga,https://media.api-sports.io/football/leagues/95.png,https://media.api-sports.io/flags/pt.svg,Feirense,https://media.api-sports.io/football/teams/213.png,Felgueiras 1932,https://media.api-sports.io/football/teams/4744.png,,
1434535,Premier League 2 Division One,https://media.api-sports.io/football/leagues/702.png,https://media.api-sports.io/flags/gb-eng.svg,Middlesbrough U21,https://media.api-sports.io/football/teams/11910.png,Birmingham City U21,https://media.api-sports.io/football/teams/20078.png,,
1522621,Svenska Cupen,https://media.api-sports.io/football/leagues/115.png,https://media.api-sports.io/flags/se.svg,Orebro SK,https://media.api-sports.io/football/teams/365.png,Hammarby FF,https://media.api-sports.io/football/teams/363.png,,
1522623,Svenska Cupen,https://media.api-sports.io/football/leagues/115.png,https://media.api-sports.io/flags/se.svg,Sandviken,https://media.api-sports.io/football/teams/6697.png,Gais,https://media.api-sports.io/football/teams/2170.png,,
1524258,Brasileiro U20 A,https://media.api-sports.io/football/leagues/740.png,https://media.api-sports.io/flags/br.svg,Bahia U20,https://media.api-sports.io/football/teams/12954.png,Fluminense U20,https://media.api-sports.io/football/teams/13008.png,,
1524259,Brasileiro U20 A,https://media.api-sports.io/football/leagues/740.png,https://media.api-sports.io/flags/br.svg,América Mineiro U20,https://media.api-sports.io/football/teams/12981.png,Botafogo U20,https://media.api-sports.io/football/teams/22875.png,,
1524261,Brasileiro U20 A,https://media.api-sports.io/football/leagues/740.png,https://media.api-sports.io/flags/br.svg,Avaí U20,https://media.api-sports.io/football/teams/12953.png,RB Bragantino U20,https://media.api-sports.io/football/teams/18345.png,,
1526248,Iraqi League,https://media.api-sports.io/football/leagues/542.png,https://media.api-sports.io/flags/iq.svg,Al Shorta,https://media.api-sports.io/football/teams/5242.png,Al Kahrabaa,https://media.api-sports.io/football/teams/11064.png,,
